Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44200 	95.24100 	246 									18.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49900 	95.22300 	253 									18.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47600 	95.23700 	250 									18.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.45200 	95.24400 	247 									19.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.42000 	95.24800 	243 									19.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48500 	95.22800 	251 									19.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.20100 	95.28400 	219 									20.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55800 	95.23500 	259 									20.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47200 	95.23800 	249 									20.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47600 	95.23800 	250 									20.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.20000 	95.28400 	219 									21.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.31600 	95.23800 	233 									21.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49700 	95.22800 	252 									21.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.42800 	95.24000 	245 									21.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.46800 	95.24200 	249 									21.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49900 	95.22600 	253 									21.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43500 	95.23400 	246 									21.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.63100 	95.39700 	262 									21.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47600 	95.23600 	250 									22.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.43200 	95.23500 	245 									22.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.46400 	95.24700 	248 									23.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.31400 	95.24100 	232 									23.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53300 	95.30400 	254 									5.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59600 	95.39400 	259 									5.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.58000 	95.35000 	258 									5.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57100 	95.34400 	257 									5.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.52000 	95.27200 	253 									5.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54000 	95.30700 	255 									6.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57900 	95.35100 	258 									6.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47800 	95.26500 	249 									6.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59500 	95.38500 	259 									6.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57300 	95.34200 	257 									6.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.37100 	259 									6.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48000 	95.24400 	250 									6.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53100 	95.28800 	254 									6.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59400 	95.37100 	259 									6.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59800 	95.39000 	259 									6.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57900 	95.35100 	258 									6.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.57500 	95.32500 	258 									6.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53000 	95.28700 	254 									6.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59600 	95.38500 	259 									6.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48800 	95.26700 	250 									7.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48700 	95.26400 	250 									7.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.53600 	95.30500 	254 									7.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.59600 	95.38500 	259 									7.10 		5 	
