Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.44500 	95.24200 	246 									21.65 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.44000 	95.24100 	246 									29.98 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.42900 	95.23600 	245 									20.80 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.44300 	95.24000 	246 									19.96 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45000 	95.24300 	247 									20.07 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45200 	95.24300 	247 									15.77 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45200 	95.24200 	247 									30.40 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.45900 	95.24600 	248 									27.28 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46100 	95.24500 	248 									23.51 		5 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46500 	95.24400 	248 									29.34 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.47800 	95.24600 	250 									12.39 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.46900 	95.24000 	249 									28.59 		4 	
* 		INDONESIA 	ACEH 	WEST COAST OF ACEH, SUMATRA 	5.47500 	95.23700 	250 									16.63 		4 	
* 		INDONESIA 	EAST JAVA 	PRIGI, S. JAVA 	-8.29000 	111.73000 	2184 	26 	4 	30 	3 	31 				.51 		2 	
* 		INDONESIA 	LAMPUNG 	PANJANG, SE. SUMATRA 	-5.51000 	105.35000 	1441 	26 	4 	2 	3 	3 				.65 		2 	
* 		INDONESIA 	NORTH SUMATRA 	AFULU, SUMATRA 	1.26169 	97.23066 	275 									3.90 	84.10 	4 	
* 		INDONESIA 	NORTH SUMATRA 	BARUS, SUMATRA 	2.00800 	98.40300 	318 									1.70 		5 	
* 		INDONESIA 	NORTH SUMATRA 	BELAWAN, SUMATRA 	3.78000 	98.72000 	322 	26 	4 	24 	3 	25 				.47 		2 	
* 		INDONESIA 	NORTH SUMATRA 	GUNUNGSITOLI, NIAS ISLAND 	1.26670 	97.56670 	297 									1.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	HAYO, SUMATRA 	-.09493 	98.26431 	464 									.90 	14.00 	4 	
* 		INDONESIA 	NORTH SUMATRA 	HILIRIHONO, NIAS ISLAND 	.56800 	97.70900 	369 									2.90 		5 	
* 		INDONESIA 	NORTH SUMATRA 	HILIRIHONO, NIAS ISLAND 	.57400 	97.73200 	370 									2.50 	400.00 	5 	
* 		INDONESIA 	NORTH SUMATRA 	HUMANGA BEACH, SUMATRA 	1.48436 	97.34708 	263 									.90 	38.80 	5 	
* 		INDONESIA 	NORTH SUMATRA 	LAGUNDRI BAY, SUMATRA 	.57842 	97.73203 	369 									1.20 	40.00 	5 	
* 		INDONESIA 	NORTH SUMATRA 	LHOK LEUPUNG, SUMATRA 	4.69205 	95.53774 	157 									12.20 	903.30 	5 	
* 		INDONESIA 	NORTH SUMATRA 	LHOK LEUPUNG, SUMATRA 	4.69189 	95.53720 	157 									14.00 	856.00 	4 	
* 		INDONESIA 	NORTH SUMATRA 	LHOK LEUPUNG, SUMATRA 	4.69137 	95.53677 	157 									16.50 	780.30 	4 	
* 		INDONESIA 	NORTH SUMATRA 	LHOK LEUPUNG, SUMATRA 	4.69064 	95.53565 	157 									15.70 	632.40 	4 	
* 		INDONESIA 	NORTH SUMATRA 	MEDREHE, NIAS ISLAND 	1.00800 	97.40500 	309 									3.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	MEDREHE, NIAS ISLAND 	1.00300 	97.40500 	310 									1.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	MEDREHE, NIAS ISLAND 	1.01600 	97.39300 	308 									4.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	MUAWE VILLAGE, NIAS ISLAND 	1.39600 	97.17000 	259 									3.80 		5 	
* 		INDONESIA 	NORTH SUMATRA 	MUAWE VILLAGE, NIAS ISLAND 	1.40100 	97.21200 	261 									2.80 		5 	
* 		INDONESIA 	NORTH SUMATRA 	PASARSORKAM, SUMATRA 	1.87100 	98.56500 	341 									1.00 		5 	
* 		INDONESIA 	NORTH SUMATRA 	PULAU ASU, SUMATRA 	.90433 	97.28002 	312 									.90 	40.00 	4 	
* 		INDONESIA 	NORTH SUMATRA 	SIBOLGA, SUMATRA 	1.72900 	98.78500 	370 									1.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIBOLGA, SUMATRA 	1.71800 	98.79700 	372 									1.60 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIBOLGA, SUMATRA 	1.72900 	98.78500 	370 	26 	2 	46 	1 	47 				1.23 		2 	
* 		INDONESIA 	NORTH SUMATRA 	SIBOLGA, SUMATRA 	1.71900 	98.79500 	372 									1.63 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIROMBU, NIAS ISLAND 	.95100 	97.42100 	315 									4.65 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIROMBU, NIAS ISLAND 	1.00800 	97.40500 	309 									5.30 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIROMBU, NIAS ISLAND 	.95100 	97.41900 	315 									4.60 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SIROMBU, NIAS ISLAND 	.95700 	97.42400 	315 									2.00 	915.00 	5 	
* 		INDONESIA 	NORTH SUMATRA 	SIROMBU, NIAS ISLAND 	1.00400 	97.40900 	310 									4.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	SOUTH OF SIBOLGA, SUMATRA 	1.66400 	98.82600 	378 									1.50 		5 	
* 		INDONESIA 	NORTH SUMATRA 	TELUK BANDERA, SUMATRA 	-.51108 	98.32702 	507 									1.00 	100.00 	4 	
* 		INDONESIA 	WEST NUSA TENGGARA 	LEMBAR, LOMBOK 	-8.73000 	116.07000 	2612 	26 	5 	27 	4 	28 				.93 		2
	
